110:07:49|84
110:09:51|86
110:10:52|86
110:13:54|89
110:14:55|89
110:16:56|90
110:17:53|91
110:18:53|91
110:20:51|93
110:21:51|95
110:23:51|97
110:25:49|97
114:17:18|91
114:17:43|91
114:25:29|109
114:31:27|118
114:35:27|110
114:40:40|106
114:45:11|115
114:48:39|126
114:54:53|125
115:01:47|118
115:07:52|110
115:12:17|100
115:19:39|119
115:24:34|129
115:29:31|134
115:34:09|125
115:40:25|120
115:46:52|117
115:52:12|127
115:57:27|120
116:03:25|129
116:08:39|121
116:14:38|129
116:19:53|120
116:24:35|133
116:26:27|133
116:29:01|122
116:36:27|128
116:42:55|124
116:48:10|115
117:10:51|142
117:17:26|121
117:25:32|120
117:29:23|134
117:33:11|125
117:37:47|120
117:42:46|120
117:47:34|119
117:58:50|142
118:04:19|129
118:11:43|143
118:18:23|140
118:21:53|143
118:30:42|129
118:36:31|129
118:43:07|137
118:47:16|137
118:53:21|129
118:58:13|115
119:03:23|120
119:08:59|120
119:13:28|101
119:21:49|95
119:28:14|99
119:31:59|99
119:39:45|118
119:43:57|111
119:49:43|117
119:54:45|112
120:03:03|111
120:14:11|94
120:19:10|95
120:23:51|109
120:29:01|114
120:33:24|109
120:39:16|101
120:47:13|125
120:52:56|109
120:57:16|112
121:01:59|122
121:07:12|119
121:15:02|129
121:20:13|130
121:23:58|129
121:26:40|129
121:31:44|148
137:49:17|85
137:53:49|90
137:57:53|99
138:03:37|97
138:09:19|110
138:16:56|96
138:27:26|114
138:34:39|91
138:42:21|114
138:47:46|94
138:54:45|88
138:59:28|89
139:03:03|84
139:08:06|88
139:12:58|82
139:26:18|82
139:44:16|92
139:51:20|92
139:53:52|87
140:00:25|88
140:12:11|120
140:17:08|103
140:27:02|100
140:32:28|112
140:39:19|99
140:43:58|95
140:48:02|104
140:54:24|109
141:01:41|107
141:05:33|103
141:08:52|115
141:16:27|98
141:20:38|98
141:27:55|111
141:31:22|114
141:38:44|85
141:42:29|90
141:46:19|85
141:50:44|83
141:59:02|110
142:05:06|113
142:08:49|101
142:19:04|120
142:20:54|103
142:25:32|115
142:28:50|109
142:34:04|109
142:40:13|85
142:45:42|85
142:51:39|81
142:59:27|109
143:04:41|109
143:09:27|128
143:12:57|119
143:18:53|129
143:26:59|97
143:32:09|93
143:38:01|99
143:41:12|86
143:47:10|83
143:51:43|90
143:57:41|119
144:01:29|111
144:06:23|122
144:11:24|109
144:16:21|108
144:24:27|92
144:29:20|118
144:35:21|118
144:45:58|111
144:51:01|116
144:54:01|107
145:00:52|110
145:04:54|117
145:09:06|102
145:15:42|121
145:19:46|99
145:29:10|129
160:49:53|84
160:54:03|95
161:06:34|99
161:11:31|95
161:17:47|98
161:23:47|104
161:28:28|94
161:34:59|95
161:38:39|86
161:44:38|79
161:54:49|79
162:00:33|76
162:06:01|80
162:15:56|85
162:21:56|105
162:29:14|103
162:34:42|91
162:40:11|106
162:47:29|100
162:55:03|109
163:00:00|110
163:04:57|124
163:09:08|91
163:13:18|101
163:18:46|109
163:25:02|101
163:29:59|106
163:35:43|84
163:41:12|101
163:45:22|106
163:51:53|102
163:56:51|113
164:00:30|86
164:16:09|78
164:21:21|100
164:26:50|111
164:32:50|129
164:39:52|123
164:44:34|109
164:50:02|110
164:55:00|114
165:00:13|106
165:04:39|110
165:10:23|104
165:17:57|85
165:26:17|83
165:29:56|95
165:34:54|96
165:38:01|99
165:43:30|98
165:45:51|100
165:51:51|100
165:57:03|110
166:00:42|97
166:06:11|100
166:14:16|100
166:15:50|82
166:21:34|86
166:26:00|80
166:29:39|80
166:35:23|85
166:41:23|102
166:47:07|110
166:51:49|124
166:56:15|116
166:58:51|106
167:03:17|114
167:08:46|112
167:12:56|91
167:17:38|116
167:24:09|118
167:28:19|109
167:34:04|118
167:38:30|115
167:44:45|123
167:50:45|125
167:53:21|125
168:05:52|139
185:17:59|86
185:18:06|85
185:18:35|80
185:19:05|85
185:19:33|78
185:20:03|100
185:20:35|85
185:21:04|85
185:21:34|110
185:22:05|110
185:22:36|90
185:23:04|93
185:24:05|109
185:24:35|91
185:25:08|90
185:25:33|90
185:26:31|76
185:27:28|90
185:28:28|100
185:28:57|102
185:29:28|90
185:30:25|90
185:31:22|80
185:31:47|90
